# 饮食 / Food & Cooking
## cat: food-tech
sear | 高温煎封：用大火快速把表面煎出焦壳
sauté | 快炒：少油大火翻炒至熟
braise | 焖炖：先煎上色再加少量液体小火久煮
stew | 炖：食材长时间浸在液体中慢煮
simmer | 微沸：保持将沸未沸的小火状态
poach | 水波煮：在不沸腾的液体中温和煮熟
blanch | 焯水：短暂入沸水后立刻取出
parboil | 半煮：只煮到半熟，留待后续烹调
steam
roast | 烤制：用干热在烤箱中加热整块食材
broil | 上火烤：用来自上方的强热快速烤上色
grill
smoke | 熏制：用烟给食材上色与增香
cure | 腌渍保存：用盐或糖脱水以延长保存
brine | 盐水浸泡：让肉在盐水中吸水并入味
marinate | 腌制：浸泡在调味液中让风味渗入
tenderize | 嫩化：破坏肌肉纤维使肉变软
render | 熬出油脂：小火把脂肪熬成液态油
deglaze | 溶解锅底：用液体把锅底焦香物刮起做酱
reduce | 收汁：加热蒸发水分使味道浓缩
emulsify | 乳化：让油与水稳定混合成一体
whisk | 打发：快速搅打使混入空气
fold | 翻拌：轻手把两种混合物合并而不消泡
knead | 揉面：反复揉压使面筋形成
proof | 醒发：让面团在温暖处发起
ferment | 发酵：靠微生物把糖转化为酸或酒精
pickle | 腌渍：用酸性溶液浸泡保存
caramelize | 焦糖化：糖受热变褐并产生香气
maillard | 美拉德反应的：氨基酸与糖受热生成褐色与香味
temper | 回温调和：把热的一点点加进冷的以免结块
baste | 浇汁：烹调中不断把汁液浇回食材表面
skim | 撇沫：把浮在表面的泡沫或油撇去
strain | 过滤：用筛网滤去固体
zest | 柑橘皮屑：只取外层带香精油的表皮
julienne | 切细丝：切成火柴棍粗细的长条
mince | 切碎：切成极细的小粒
dice | 切丁：切成方块
## cat: food-taste
umami | 鲜味：谷氨酸带来的第五种基本味
savory | 咸鲜的：与甜相对的那类味道
astringent | 涩的：让口腔发紧发干的感觉
pungent | 辛辣刺鼻的：气味或味道强烈冲鼻
acrid | 呛的：刺激喉咙的焦苦气味
tart | 酸爽的：明快而不刺激的酸
tangy | 带酸香的：酸中带鲜的爽利风味
bland | 寡淡的：几乎没有味道
succulent | 多汁的：咬下去汁水丰盈
tender
chewy | 有嚼劲的：需要多咀嚼但不难嚼
crisp
crunchy | 脆响的：咬起来发出清脆声响
flaky | 酥松分层的：一碰就掉层的酥皮口感
creamy | 绵密的：口感顺滑浓厚
velvety | 丝绒般的：细腻无颗粒感
gamey | 膻味的：野味或羊肉特有的强烈气味
rancid | 哈喇的：油脂氧化变质的味道
stale | 不新鲜的：放久后失去应有风味或口感
curdle | 结块分离：乳制品因酸或热而凝结
coagulate | 凝固：蛋白质受热或遇酸变成固体
seasoning | 调味：盐与香料的整体使用
condiment | 佐料：吃时另加的酱料
garnish | 装饰配菜：为观感与香气放上的点缀
aromatic | 芳香类食材的：葱姜蒜等用来打底出香的材料
staple | 主食：日常饮食中提供主要热量的食物
produce | 生鲜农产：新鲜蔬菜与水果
poultry | 禽肉：鸡鸭鹅等家禽的肉
offal | 内脏：动物的可食用脏器
cured | 腌制的：经盐渍或风干保存的
fermented
leavened | 发酵膨胀的：加了酵母或膨松剂而蓬松
unleavened
perishable | 易腐的：保质期短、需冷藏
shelf-life | 保质期：食品保持可食用的时长
palate | 味觉：一个人对味道的辨别力与偏好
palatable | 可口的：味道让人能接受
appetizing | 开胃的：让人有食欲
## cat: food-tech
sift | 过筛：把粉类筛松以免结块
dredge | 裹粉：给食材表面均匀沾上一层粉
batter | 面糊：可流动的粉浆，用于挂糊或烘焙
dough | 面团：可揉可塑的面粉混合物
scald | 烫：用接近沸点的液体短时处理
infuse | 浸泡出味：让香料的味道渗进液体
steep | 焖泡：把茶或香料泡在热液中出味
macerate | 浸渍：用糖或酒泡软水果并出汁
confit | 油封：低温浸在油脂中慢煮并保存
sous-vide | 低温慢煮的：真空袋在恒温水浴中长时间加热
blister | 起泡：高温使表皮鼓起并微焦
char | 焦化：表面烤到发黑带苦香
toast | 烘香：干锅或烤箱烘出坚果与香料的香气
grate | 擦丝：用擦板把食材擦成细屑
shred | 撕成丝：手撕或刀切成细长条
mash | 捣泥：把熟食材压成泥状
puree | 打成泥：搅打成细腻均匀的糊
whip | 打发至蓬松：搅打到体积膨大
cream | 打成乳霜状：把黄油与糖搅打至发白蓬松
temper chocolate | 巧克力调温：控温结晶使成品光亮易脆
proofing | 发酵醒面：让面团在温暖处膨胀
autolyse | 自解：面粉与水先静置让面筋自行形成
scoring | 割包：烘烤前在面团表面划口以控制膨胀
resting | 静置：肉离火后静放让汁水回吸
carryover | 余温加热：离火后内部温度继续上升
brining | 盐水腌：让肉吸水并保持多汁
dry-aging | 干式熟成：在控温控湿下让肉自然分解增味
## cat: food-taste
mouthfeel | 口感：食物在口中的物理感受
texture | 质地：软硬粗细等结构性感受
viscosity | 黏度：液体流动的阻力
emulsion | 乳浊液：油与水分散混合而成的体系
suspension | 悬浊液：固体颗粒悬浮在液体中
gelatinization | 糊化：淀粉吸水受热变稠的过程
denaturation | 变性：蛋白质结构被破坏而凝固
oxidation | 氧化：接触空气后变色变味
fermentation | 发酵：微生物把糖转化为酸或酒精
acidity | 酸度：食物中酸的强弱
alkaline | 碱性的：pH 高于中性
bitterness | 苦味：常来自生物碱或过度焦化
sweetness
saltiness | 咸味：由钠离子引起的基本味
aftertaste | 余味：咽下后仍留在口中的味道
finish | 尾韵：味道消散的方式与长度
aroma | 香气：由挥发性分子经鼻腔感知
bouquet | 复合香：多种香气交织形成的整体印象
terroir | 风土：产地土壤气候赋予食材的独特性
seasonal | 时令的：当季出产因而最好的
foraged | 野采的：从野外采集而非人工种植
artisanal | 手工作坊的：小批量手工制作
processed | 加工的：经工业处理改变了原始形态
additive | 添加剂：为保存或改善口感而加入的物质
preservative | 防腐剂：抑制微生物以延长保质期
fortified | 强化的：额外添加维生素或矿物质
allergen
intolerance | 不耐受：缺乏消化某成分的酶
## cat: food-meat
brisket | 牛胸肉：筋膜多、需长时间慢煮才软的部位
shank | 腱子：小腿部位，胶质厚，久炖出胶
loin | 腰脊肉：脊背两侧的嫩肉，是最贵的一段
tenderloin | 里脊：几乎不运动的肌肉，最嫩但油花最少
sirloin | 西冷：腰脊后段，一侧带油边，嫩中带嚼劲
ribeye | 肋眼：肋部中段，油花密布，煎出来最香
chuck | 肩胛肉：结缔组织多，适合炖或做绞肉
flank | 腹肉：纤维粗且方向明显，须逆纹切
skirt | 裙肉：横膈膜附近的薄长条，味浓需快煎
rump | 臀肉：瘦而有嚼劲，适合切片快炒
brisket-point | 牛胸肉上层：油脂更多的那一半
belly | 五花：肥瘦相间的腹部肉
trotter | 蹄：猪蹄或牛蹄，胶质极重
cheek | 脸颊肉：运动多、筋多，久炖后极软糯
oxtail | 牛尾：带骨带筋，炖汤出胶
marrow | 骨髓：骨腔里的脂性组织，烤后可涂面包
offal | 内脏：心肝肚肾等可食用脏器的统称
sweetbread | 胸腺／胰脏：法餐里的高级内脏，口感绵软
tripe | 牛肚：反刍动物的胃，需长时间处理去味
gizzard | 砂囊：禽类磨碎食物的肌胃，脆而有嚼劲
marbling | 大理石纹：肌肉中细密分布的脂肪，决定嫩度与香气
gristle | 脆骨筋：咬不动的结缔组织
sinew | 筋腱：连接肌肉与骨头的坚韧组织
collagen | 胶原蛋白：久煮后化成明胶，是炖肉软糯的来源
silverskin | 银皮：肉表面那层银白色的薄筋膜，须剔掉
fat-cap | 脂肪盖：肉块外侧那层厚脂肪
primal | 分割大块的：屠宰后先切下的几大块之一
carcass | 胴体：去除内脏与头蹄后的整只躯体
butcher | 分割师：把胴体拆成可售部位的人
poultry | 禽肉：鸡鸭鹅等家禽的肉
game | 野味：猎获而非饲养的动物肉，味重
venison | 鹿肉：瘦而味浓的红肉
mutton | 羊肉：成年羊的肉，膻味比羔羊重
veal | 小牛肉：颜色浅、味淡而质地极嫩
charcuterie | 熟肉冷盘：腌腊肉制品的统称与拼盘
prosciutto | 意式生火腿：长时间风干的腿肉，可生食
pancetta | 意式培根：卷腌的猪腹肉，不烟熏
lardo | 腌猪背脂：以香草与盐腌渍的纯脂肪
terrine | 陶罐派：肉糜压在陶模中冷却成形
rillettes | 手撕肉酱：肉油封后撕碎再拌回油脂
forcemeat | 肉糜馅：调过味的绞肉，用于灌肠与派馅
casing | 肠衣：灌香肠所用的天然或人造外膜
render | 熬脂：小火把肥肉里的油脂逼出来
shellfish | 带壳海鲜：贝类与甲壳类的统称
crustacean | 甲壳类：虾蟹龙虾一类有外骨骼的海产
mollusc | 软体动物：贝类、乌贼等无脊椎水产
bivalve | 双壳贝：蛤蜊、扇贝这类两片壳的贝
cephalopod | 头足类：章鱼乌贼，肉厚需快熟或久炖
roe | 鱼籽：未受精的卵，可腌可生食
caviar | 鱼子酱：鲟鱼卵盐渍而成的高价食材
fillet | 鱼柳：去骨去皮片下来的整条肉
pin-bone | 小刺：鱼柳中间那排细骨，须用镊子拔
shuck | 撬壳：把生蚝或贝类打开取肉
gut | 去内脏：剖开腹腔清除脏器
brackish | 半咸水的：河海交汇处，风味介于淡咸之间
sashimi-grade | 生食级的：处理与冷链达到可生食标准
## cat: food-produce
heirloom | 传家宝品种：世代留种、风味好但不耐运输的老品种
cultivar | 栽培品种：人工选育出来的特定品种
varietal | 单一品种的：只用一个品种制成
